name,roll_no,father_name,dob,phone_no,email,branch,qualification
Aayushi Kalia,11223344,Father 1,01/25/1995,123456789,aayushi.kalia@debutinfotech.com,B.tech,CSE
Akash Kukkar,11223345,Father 2,02/20/1994,123451234,akash.kukkar@debutinfotech.com,B.tech,CSE
Amit Dogra,11223346,Father 3,03/15/1990,123412345,amit.dogra@debutinfotech.com,MCA,CSE
Daljit Singh,11223347,Father 4,03/13/1992,123456712,daljit.singh@debutinfotech.com,B.tech,CSE
Dharam Punit,11223348,Father 5,04/16/1983,123452345,dharampunit.singh@debutinfotech.com,MCA,CSE
Gurpreet Singh,11223349,Father 6,08/15/1980,234523456,gurpreet.singh@debutinfotech.com,MCA,CSE
Harpartap Singh,11223350,Father 7,03/18/1987,123123123,harpartap.singh@debutinfotech.com,B.tech,CSE
Lakhwinder Singh,11223351,Father 8,05/19/1993,121314156,lakhwinder.singh@debutinfotech.com,B.tech,CSE
Narinder Singh,11223352,Father 9,12/30/1990,112233445,narinder.singh@debutinfotech.com,MCA,CSE
Parteek Arora,11223353,Father 10,10/20/1993,554466778,parteek.arora@debutinfotech.com,B.tech,CSE
Ravinder Bhatia,11223354,Father 11,02/30/1991,121314151,ravinder.kumar@debutinfotech.com,MCA,CSE
Sadaf Farooqui,11223355,Father 12,04/21/1999,222324256,sadaf.farooqui@debutinfotech.com,MCA,CSE
Shubham Singla,11223356,Father 13,07/23/1987,234234256,shubam.singla@debutinfotech.com,MCA,CSE
Vishal Sharma,11223357,Father 14,01/25/1987,556677889,vishal.sharma@debutinfotech.com,MCA,CSE
Shilpa Vasisth,11223358,Father 15,02/27/1994,123123123,shilpa.vashisht@debutinfotech.com,MCA,CSE
Sanjay Bisht,11223369,Father 16,03/13/1989,778285663,sanjay.bisht@debutinfotech.com,B.tech,CSE
